normalized_key,original_label,hgb_code
anlagevermoegen,Anlagevermögen,BS-A.A
immateriellevermoegensgegenstaende,Immaterielle Vermögensgegenstände,BS-A.A.I
immaterielleanlagewerte,Immaterielle Anlagewerte,BS-A.A.I
intangiblevermoegenswerte,Intangible Vermögenswerte,BS-A.A.I
selbstgeschaffenegewerblicheschutzrechte,Selbst geschaffene gewerbliche Schutzrechte,BS-A.A.I.1
konzessionenlizenzenundaehnlicherechte,"Konzessionen, Lizenzen und ähnliche Rechte",BS-A.A.I.2
software,Software,BS-A.A.I.2
geschaeftsoderfirmenwert,Geschäfts- oder Firmenwert,BS-A.A.I.3
goodwill,Goodwill,BS-A.A.I.3
geleisteteanzahlungenimmaterielle,Geleistete Anzahlungen immaterielle,BS-A.A.I.4
sachanlagen,Sachanlagen,BS-A.A.II
propertyplantandequipment,"Property, Plant and Equipment",BS-A.A.II
grundstueckeundbauten,Grundstücke und Bauten,BS-A.A.II.1
grundstueckegrundstuecksgleicherechteundbauten,"Grundstücke, grundstücksgleiche Rechte und Bauten",BS-A.A.II.1
technischeanlagenundmaschinen,Technische Anlagen und Maschinen,BS-A.A.II.2
andereanlagenbetriebsundgeschaeftsausstattung,"Andere Anlagen, Betriebs- und Geschäftsausstattung",BS-A.A.II.3
betriebsundgeschaeftsausstattung,Betriebs- und Geschäftsausstattung,BS-A.A.II.3
bga,BGA,BS-A.A.II.3
fuhrpark,Fuhrpark,BS-A.A.II.3
geleisteteanzahlungenundanlagenimbau,Geleistete Anzahlungen und Anlagen im Bau,BS-A.A.II.4
anlagenimbau,Anlagen im Bau,BS-A.A.II.4
finanzanlagen,Finanzanlagen,BS-A.A.III
anteileanverbundenenunternehmen,Anteile an verbundenen Unternehmen,BS-A.A.III.1
ausleihungenanverbundeneunternehmen,Ausleihungen an verbundene Unternehmen,BS-A.A.III.2
beteiligungen,Beteiligungen,BS-A.A.III.3
ausleihungenanunternehmenmitbeteiligungsverhaeltnis,Ausleihungen an Unternehmen mit Beteiligungsverhältnis,BS-A.A.III.4
wertpapieredesanlagevermoegens,Wertpapiere des Anlagevermögens,BS-A.A.III.5
sonstigeausleihungen,Sonstige Ausleihungen,BS-A.A.III.6
umlaufvermoegen,Umlaufvermögen,BS-A.B
vorraete,Vorräte,BS-A.B.I
rohhilfsundbetriebsstoffe,"Roh-, Hilfs- und Betriebsstoffe",BS-A.B.I.1
rhb,RHB,BS-A.B.I.1
unfertigeerzeugnisse,Unfertige Erzeugnisse,BS-A.B.I.2
