skr_variant,account_low,account_high,hgb_code_default,hgb_code_ukv,sign_dependent,hint
SKR03,1,9,BS-A.A.I,,False,"Ingangsetzungsaufwendungen (historisch, BilMoG)"
SKR03,10,99,BS-A.A.I,,False,Immaterielle Vermögensgegenstände
SKR03,100,199,BS-A.A.II.1,PL_UKV-2,False,Grundstücke und Bauten
SKR03,200,299,BS-A.A.II.2,PL_UKV-2,False,Technische Anlagen und Maschinen
SKR03,300,499,BS-A.A.II.3,PL_UKV-5,False,"BGA, Fuhrpark, andere Anlagen"
SKR03,500,519,BS-A.A.III.3,,False,Beteiligungen
SKR03,520,539,BS-A.A.III.5,,False,Wertpapiere des AV
SKR03,540,599,BS-A.A.III.6,,False,Ausleihungen / Rückdeckungsansprüche
SKR03,580,589,BS-A.A.III.1,,False,Anteile an verbundenen Unternehmen
SKR03,600,699,BS-P.C.2,,False,Verbindlichkeiten ggü. Kreditinstituten
SKR03,700,799,BS-A.A.II.4,,False,Geleistete Anzahlungen / Anlagen im Bau
SKR03,800,899,BS-P.A.I,,False,Eigenkapital (Gezeichnetes Kapital)
SKR03,900,949,BS-P.A.II,,False,Kapitalrücklage / Gewinnrücklagen
SKR03,950,954,BS-P.B.1,,False,Pensionsrückstellungen
SKR03,955,969,BS-P.B.2,,False,Steuerrückstellungen
SKR03,970,979,BS-P.B.3,,False,Sonstige Rückstellungen
SKR03,980,989,BS-A.C,,False,Aktive Rechnungsabgrenzung
SKR03,990,999,BS-P.D,,False,Passive Rechnungsabgrenzung / WB
SKR03,1000,1099,BS-A.B.IV,,False,Kasse
SKR03,1100,1199,BS-A.B.IV,,True,Postbank / Bank (kann auch passiv sein bei Überziehung)
SKR03,1200,1299,BS-A.B.IV,,True,Bank (kann auch passiv sein bei Überziehung)
SKR03,1300,1339,BS-A.B.IV,,False,"Schecks, Geldtransit"
SKR03,1340,1399,BS-A.B.III,,False,Wertpapiere des UV
SKR03,1400,1499,BS-A.B.II.1,,False,Forderungen aus L+L
SKR03,1500,1599,BS-A.B.II.4,,False,Sonstige Vermögensgegenstände
SKR03,1600,1699,BS-P.C.4,,False,Verbindlichkeiten aus L+L
SKR03,1700,1799,BS-P.C.8,,False,"Sonstige Verbindlichkeiten (inkl. USt, LSt)"
SKR03,1800,1899,BS-A.B.II.4,,False,Privatkonten / Verrechnungskonten
SKR03,1900,1999,BS-A.C,,False,Aktive Rechnungsabgrenzung / Latente Steuern
SKR03,2000,2099,PL_GKV-13,PL_UKV-12,False,Zinsen und ähnliche Aufwendungen
