hgb_code,statement,level,parent_code,name_de,name_en,pnl_format,is_subtotal,ukv_allocation_required
BS-A,BS,1,,AKTIVA,ASSETS,BS,False,False
BS-A.A,BS,2,BS-A,A. Anlagevermögen,Fixed assets,BS,False,False
BS-A.A.I,BS,3,BS-A.A,I. Immaterielle Vermögensgegenstände,Intangible assets,BS,False,False
BS-A.A.I.1,BS,4,BS-A.A.I,1. Selbst geschaffene gewerbliche Schutzrechte,Self-created industrial property rights,BS,False,False
BS-A.A.I.2,BS,4,BS-A.A.I,"2. Entgeltlich erworbene Konzessionen, Lizenzen, Software","Purchased concessions, licenses, software",BS,False,False
BS-A.A.I.3,BS,4,BS-A.A.I,3. Geschäfts- oder Firmenwert,Goodwill,BS,False,False
BS-A.A.I.4,BS,4,BS-A.A.I,4. Geleistete Anzahlungen auf immaterielle Vermögensgegenstände,Advance payments on intangibles,BS,False,False
BS-A.A.II,BS,3,BS-A.A,II. Sachanlagen,"Property, plant & equipment",BS,False,False
BS-A.A.II.1,BS,4,BS-A.A.II,"1. Grundstücke, grundstücksgleiche Rechte und Bauten",Land and buildings,BS,False,False
BS-A.A.II.2,BS,4,BS-A.A.II,2. Technische Anlagen und Maschinen,Technical equipment and machinery,BS,False,False
BS-A.A.II.3,BS,4,BS-A.A.II,"3. Andere Anlagen, Betriebs- und Geschäftsausstattung (BGA)","Other equipment, operating and office equipment",BS,False,False
BS-A.A.II.4,BS,4,BS-A.A.II,4. Geleistete Anzahlungen und Anlagen im Bau,Advance payments and assets under construction,BS,False,False
BS-A.A.III,BS,3,BS-A.A,III. Finanzanlagen,Financial assets,BS,False,False
BS-A.A.III.1,BS,4,BS-A.A.III,1. Anteile an verbundenen Unternehmen,Shares in affiliated companies,BS,False,False
BS-A.A.III.2,BS,4,BS-A.A.III,2. Ausleihungen an verbundene Unternehmen,Loans to affiliated companies,BS,False,False
BS-A.A.III.3,BS,4,BS-A.A.III,3. Beteiligungen,Participations,BS,False,False
BS-A.A.III.4,BS,4,BS-A.A.III,4. Ausleihungen an Unternehmen mit Beteiligungsverhältnis,Loans to participating-interest companies,BS,False,False
BS-A.A.III.5,BS,4,BS-A.A.III,5. Wertpapiere des Anlagevermögens,Securities held as fixed assets,BS,False,False
BS-A.A.III.6,BS,4,BS-A.A.III,6. Sonstige Ausleihungen,Other loans,BS,False,False
BS-A.B,BS,2,BS-A,B. Umlaufvermögen,Current assets,BS,False,False
BS-A.B.I,BS,3,BS-A.B,I. Vorräte,Inventories,BS,False,False
BS-A.B.I.1,BS,4,BS-A.B.I,"1. Roh-, Hilfs- und Betriebsstoffe","Raw materials, supplies",BS,False,False
BS-A.B.I.2,BS,4,BS-A.B.I,"2. Unfertige Erzeugnisse, unfertige Leistungen",Work in progress,BS,False,False
BS-A.B.I.3,BS,4,BS-A.B.I,3. Fertige Erzeugnisse und Waren,Finished goods and merchandise,BS,False,False
BS-A.B.I.4,BS,4,BS-A.B.I,4. Geleistete Anzahlungen auf Vorräte,Advance payments on inventories,BS,False,False
BS-A.B.II,BS,3,BS-A.B,II. Forderungen und sonstige Vermögensgegenstände,Receivables and other assets,BS,False,False
BS-A.B.II.1,BS,4,BS-A.B.II,1. Forderungen aus Lieferungen und Leistungen,Trade receivables,BS,False,False
BS-A.B.II.2,BS,4,BS-A.B.II,2. Forderungen gegen verbundene Unternehmen,Receivables from affiliated companies,BS,False,False
BS-A.B.II.3,BS,4,BS-A.B.II,3. Forderungen gegen Unternehmen mit Beteiligungsverhältnis,Receivables from participations,BS,False,False
BS-A.B.II.4,BS,4,BS-A.B.II,4. Sonstige Vermögensgegenstände,Other assets,BS,False,False
BS-A.B.III,BS,3,BS-A.B,III. Wertpapiere des Umlaufvermögens,Securities (current),BS,False,False
BS-A.B.IV,BS,3,BS-A.B,"IV. Kassenbestand, Bankguthaben, Schecks","Cash, bank balances, cheques",BS,False,False
BS-A.C,BS,2,BS-A,C. Rechnungsabgrenzungsposten (aktiv),Prepaid expenses,BS,False,False
BS-A.D,BS,2,BS-A,D. Aktive latente Steuern,Deferred tax assets,BS,False,False
BS-A.E,BS,2,BS-A,E. Aktiver Unterschiedsbetrag aus der Vermögensverrechnung,Active surplus from asset offsetting,BS,False,False
BS-P,BS,1,,PASSIVA,EQUITY & LIABILITIES,BS,False,False
BS-P.A,BS,2,BS-P,A. Eigenkapital,Equity,BS,False,False
BS-P.A.I,BS,3,BS-P.A,I. Gezeichnetes Kapital,Subscribed capital,BS,False,False
BS-P.A.II,BS,3,BS-P.A,II. Kapitalrücklage,Capital reserve,BS,False,False
BS-P.A.III,BS,3,BS-P.A,III. Gewinnrücklagen,Retained earnings (reserves),BS,False,False
BS-P.A.IV,BS,3,BS-P.A,IV. Gewinnvortrag / Verlustvortrag,Profit/loss carried forward,BS,False,False
BS-P.A.V,BS,3,BS-P.A,V. Jahresüberschuss / Jahresfehlbetrag,Net income for the year,BS,False,False
BS-P.B,BS,2,BS-P,B. Rückstellungen,Provisions,BS,False,False
BS-P.B.1,BS,3,BS-P.B,1. Rückstellungen für Pensionen u. ähnliche Verpflichtungen,Pension provisions,BS,False,False
BS-P.B.2,BS,3,BS-P.B,2. Steuerrückstellungen,Tax provisions,BS,False,False
BS-P.B.3,BS,3,BS-P.B,3. Sonstige Rückstellungen,Other provisions,BS,False,False
BS-P.C,BS,2,BS-P,C. Verbindlichkeiten,Liabilities,BS,False,False
BS-P.C.1,BS,3,BS-P.C,1. Anleihen,Bonds,BS,False,False
BS-P.C.2,BS,3,BS-P.C,2. Verbindlichkeiten gegenüber Kreditinstituten,Liabilities to banks,BS,False,False
