raw_label,normalized_key,match_type,candidates,doc_label,heading,page_start,row
3. Materialaufwand (GKV),,materialaufwand,unsafe_aggregate_heading,,,,
3. Materialaufwand (GKV),materialaufwand,unsafe_aggregate_heading,,,FY2015_Konzern-Gewinn- und Verl,,11
4. Personalaufwand (GKV),personalaufwand,unsafe_aggregate_heading,,,FY2015_Konzern-Gewinn- und Verl,,14
b) soziale Abgaben und Aufwendungen für Altersversorgung und für Unterstützung,PL_GKV-6b,std_id_collision,PL_GKV-6b,,FY2015_Konzern-Gewinn- und Verl,,16
Aufwendungen für Altersversorgung,aufwendungenfueraltersversorgung,none,,,FY2015_Konzern-Gewinn- und Verl,,18
5. Abschreibungen (GKV),abschreibungen,unsafe_aggregate_heading,,,FY2015_Konzern-Gewinn- und Verl,,19
7. Finanz- und Beteiligungsergebnis,finanzundbeteiligungsergebnis,none,,,FY2015_Konzern-Gewinn- und Verl,,21
8. Ergebnis der gewöhnlichen Geschäftstätigkeit,ergebnisdergewoehnlichengeschaeftstaetigkeit,none,,,FY2015_Konzern-Gewinn- und Verl,,24
9. außerordentliches Ergebnis,ausserordentlichesergebnis,none,,,FY2015_Konzern-Gewinn- und Verl,,25
14. auf nicht beherrschende Anteile entfallender Gewinn/Verlust,aufnichtbeherrschendeanteileentfallendergewinnverlust,none,,,FY2021_Konzern-Gewinn- und Verl,,36
14. auf nicht beherrschende Anteile entfallender Verlust,aufnichtbeherrschendeanteileentfallenderverlust,none,,,FY2020_Konzern-Gewinn- und Verl,,33
12. Entnahme aus den Gewinnrücklagen,entnahmeausdengewinnruecklagen,none,,,FY2018_Konzern-Gewinn- und Verl,,31
13. Zuführung zu den Gewinnrücklagen,zufuehrungzudengewinnruecklagen,none,,,FY2018_Konzern-Gewinn- und Verl,,32
8. Verluste aus Beteiligungen an assoziierten Unternehmen,verlusteausbeteiligungenanassoziiertenunternehmen,none,,,FY2017_Konzern-Gewinn- und Verl,,25
a) Ergebnis aus Beteiligungen an assoziierten Unternehmen,ergebnisausbeteiligungenanassoziiertenunternehmen,none,,,FY2016_Konzern-Gewinn- und Verl,,25
4. außerordentliche Aufwendungen,ausserordentlicheaufwendungen,none,,,FY2016_Konzern-Gewinn- und Verl,,29
A. Anlagevermögen,anlagevermoegen,non_line,BS-A.A,,,1,3
Entgeltlich erworbene gewerbliche Schutzrechte und ähnliche Rechte und Werte,entgeltlicherworbenegewerblicheschutzrechteundaehnlicherechteundwerte,none,,,,1,5
1. Grundstücke und Bauten einschließlich der Bauten auf fremden Grundstücken,grundstueckeundbauteneinschliesslichderbautenauffremdengrundstuecken,none,,,,1,7
2. Beteiligungen an assoziierten Unternehmen,beteiligungenanassoziiertenunternehmen,none,,,,1,14
B. Umlaufvermögen,umlaufvermoegen,non_line,BS-A.B,,,1,18
3. Geleistete Anzahlungen,geleisteteanzahlungen,none,,,,1,22
2. Forderungen gegen Gesellschafter,forderungengegengesellschafter,none,,,,1,26
"3. Forderungen gegen Unternehmen, mit denen ein Beteiligungsverhältnis besteht",forderungengegenunternehmenmitdeneneinbeteiligungsverhaeltnisbesteht,none,,,,1,28
"III. Kassenbestand, Guthaben bei Kreditinstituten und Schecks",kassenbestandguthabenbeikreditinstitutenundschecks,none,,,,1,31
C. Rechnungsabgrenzungsposten,rechnungsabgrenzungsposten,none,,,,1,33
D. Aktive latente Steuern,aktivelatentesteuern,non_line,BS-A.D,,,1,34
E. Nicht durch Vermögenseinlagen gedeckte Verlustanteile der Kommanditisten,nichtdurchvermoegenseinlagengedeckteverlustanteilederkommanditisten,none,,,,1,35
A. Eigenkapital,eigenkapital,non_line,BS-P.A,,30.04.2024 30.04.2023,2,3
I. Kapitalanteile,kapitalanteile,none,,,30.04.2024 30.04.2023,2,4
II. Rücklagen,ruecklagen,none,,,30.04.2024 30.04.2023,2,5
1. Andere Gewinnrücklagen,anderegewinnruecklagen,none,,,30.04.2024 30.04.2023,2,6
2. Unterschiedsbetrag aus der Kapitalkonsolidierung,unterschiedsbetragausderkapitalkonsolidierung,none,,,30.04.2024 30.04.2023,2,7
III. Eigenkapitaldifferenz aus Währungsumrechnung,eigenkapitaldifferenzauswaehrungsumrechnung,none,,,30.04.2024 30.04.2023,2,9
VI. Genussrechtskapital,genussrechtskapital,none,,,30.04.2024 30.04.2023,2,12
B. Ausgleichsposten für aktivierte eigene Anteile,ausgleichspostenfueraktivierteeigeneanteile,none,,,30.04.2024 30.04.2023,2,14
C. Rückstellungen,rueckstellungen,non_line,BS-P.B,,30.04.2024 30.04.2023,2,15
D. Verbindlichkeiten,verbindlichkeiten,non_line,BS-P.C,,30.04.2024 30.04.2023,2,20
5. Verbindlichkeiten gegenüber Gesellschaftern,verbindlichkeitengegenuebergesellschaftern,none,,,30.04.2024 30.04.2023,2,26
"- davon aus Steuern: € 1.299.651,56 (Vorjahr: € 1.227.581,82)",davonaussteuern129965156vorjahr122758182,none,,,30.04.2024 30.04.2023,2,28
"- davon im Rahmen der sozialen Sicherheit: € 109.092,78 (Vorjahr: € 15.507,03)",davonimrahmendersozialensicherheit10909278vorjahr1550703,none,,,30.04.2024 30.04.2023,2,29
"Lang- und mittelfristig gebundenes Vermö-
gen",langundmittelfristiggebundenesvermoegen,none,,,3.2. Vermögenslage,21,3
Kurzfristig gebundenes Vermögen,kurzfristiggebundenesvermoegen,none,,,3.2. Vermögenslage,21,4
"Nicht durch Vermögenseinlagen gedeckte
Verlustanteile",nichtdurchvermoegenseinlagengedeckteverlustanteile,none,,,3.2. Vermögenslage,21,5
Summe Aktiva,summeaktiva,none,,,3.2. Vermögenslage,21,6
"Lang- und mittelfristig zur Verfügung stehen-
des Kapital",langundmittelfristigzurverfuegungstehendeskapital,none,,,3.2. Vermögenslage,21,7
Eigenkapital (zzgl. Ausgleichsposten),eigenkapitalzzglausgleichsposten,none,,,3.2. Vermögenslage,21,8
Fremdkapital,fremdkapital,none,,,3.2. Vermögenslage,21,9
