normalized_key,std_id,note
aufwendungenfuerrohhilfsundbetriebsstoffeundfuerbezogenewaren,PL_GKV-5a,Exact published-label variant
sozialeabgabenundaufwendungenfueraltersversorgungundfuerunterstuetzung,PL_GKV-6b,Exact published-label variant
aufimmateriellevermoegensgegenstaendedesanlagevermoegensundsachanlagen,PL_GKV-7a,Exact published-label variant
abschreibungenaufimmateriellevermoegensgegenstaendedesanlagevermoegensundsachanlagen,PL_GKV-7a,Exact published-label variant
aufvermoegensgegenstaendedesumlaufvermoegenssoweitdiesedieimkonzernueblichenabschreibungenueberschreiten,PL_GKV-7b,Exact published-label variant
gewinneausbeteiligungenanassoziiertenunternehmen,PL_GKV-9,Exact published-label variant
verlusteausbeteiligungenanassoziiertenunternehmen,PL_GKV-9,Exact published-label variant
ergebnisausbeteiligungenanassoziiertenunternehmen,PL_GKV-9,Exact published-label variant
ergebnisnachsteuernkonzernjahresfehlbetrag,PL_GKV-17,Exact published-label variant
ergebnisnachsteuernkonzernjahresueberschuss,PL_GKV-17,Exact published-label variant
ergebnisnachsteuernkonzernjahresfehlbetragueberschuss,PL_GKV-17,Exact published-label variant
konzernjahresfehlbetrag,PL_GKV-17,Exact published-label variant
aufwendungenfueraltersversorgung,PL_GKV-6b,Exact published-label variant
entnahmeausdengewinnruecklagen,BS-P.A.III,Exact published-label variant
zufuehrungzudengewinnruecklagen,BS-P.A.III,Exact published-label variant
