raw_label,normalized_key,sheet,row
Aufwendungen für Altersversorgung,aufwendungenfueraltersversorgung,FY2015_Konzern-Gewinn- und Verl,18
7. Finanz- und Beteiligungsergebnis,finanzundbeteiligungsergebnis,FY2015_Konzern-Gewinn- und Verl,21
8. Ergebnis der gewöhnlichen Geschäftstätigkeit,ergebnisdergewoehnlichengeschaeftstaetigkeit,FY2015_Konzern-Gewinn- und Verl,24
9. außerordentliches Ergebnis,ausserordentlichesergebnis,FY2015_Konzern-Gewinn- und Verl,25
14. auf nicht beherrschende Anteile entfallender Gewinn/Verlust,aufnichtbeherrschendeanteileentfallendergewinnverlust,FY2021_Konzern-Gewinn- und Verl,36
14. auf nicht beherrschende Anteile entfallender Verlust,aufnichtbeherrschendeanteileentfallenderverlust,FY2020_Konzern-Gewinn- und Verl,33
12. Entnahme aus den Gewinnrücklagen,entnahmeausdengewinnruecklagen,FY2018_Konzern-Gewinn- und Verl,31
13. Zuführung zu den Gewinnrücklagen,zufuehrungzudengewinnruecklagen,FY2018_Konzern-Gewinn- und Verl,32
8. Verluste aus Beteiligungen an assoziierten Unternehmen,verlusteausbeteiligungenanassoziiertenunternehmen,FY2017_Konzern-Gewinn- und Verl,25
a) Ergebnis aus Beteiligungen an assoziierten Unternehmen,ergebnisausbeteiligungenanassoziiertenunternehmen,FY2016_Konzern-Gewinn- und Verl,25
4. außerordentliche Aufwendungen,ausserordentlicheaufwendungen,FY2016_Konzern-Gewinn- und Verl,29
